[32mINFO   [0m      StepLogger:  → QEMUNetworkStrategy.transition(state='shell') 
[32mINFO   [0m      StepLogger:  ↓ QEMUNetworkStrategy.transition() skipped=nothing to do
[32mINFO   [0m      StepLogger:  ← QEMUNetworkStrategy.transition()
[32mINFO   [0m      StepLogger:  → ShellDriver.run(cmd='logread') 
CONSOLE SerialLogger.ma:   QemuDriver(main) > echo 'TMFW''AYBCPC'␤␍␤
[32mINFO   [0m      StepLogger:   → QEMUDriver.expect(pattern='TMFWAYBCPC\\s+root@[\\w()]+:[^ ]+ ') 
CONSOLE SerialLogger.ma:    QemuDriver(main) < echo 'TMFW''AYBCPC'␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < TMFWAYBCPC␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < root@OpenWrt:~# ␍␤
[32mINFO   [0m      StepLogger:   ← QEMUDriver.expect() result=(0, b"echo 'TMFW''AYBCPC'\r\n", <re.Match object; span=(21, 49), match=b'TMFWAYBCPC\r\nroot@OpenWrt:… [0.013s]
CONSOLE SerialLogger.ma:   QemuDriver(main) > MARKER='KVAJ''QPEWCT' run logread␤␍␤
[32mINFO   [0m      StepLogger:   → QEMUDriver.expect(pattern='KVAJQPEWCT(.*)KVAJQPEWCT\\s+(\\d+)\\s+root@[\\w()]+:[^ ]+ ') 
CONSOLE SerialLogger.ma:    QemuDriver(main) < MARKER='KVAJ''QPEWCT' run logread␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.info dnsmasq[1]: using only locally-known addresses for local␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.info dnsmasq[1]: using only locally-known addresses for invalid␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.info dnsmasq[1]: using only locally-known addresses for bind␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.info dnsmasq[1]: using only locally-known addresses for lan␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 user.notice firewall: Reloading firewall due to ifup of lan (br-lan)␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:22 2025 daemon.warn odhcpd[2106]: No default route present, overriding ra_lifetime to 0!␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:26 2025 authpriv.info dropbear[2559]: Child connection from 192.168.1.2:54186␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:26 2025 authpriv.notice dropbear[2559]: Auth succeeded with blank password for 'root' from 192.168.1.2:54186␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < KVAJQPEWCT 0␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < root@OpenWrt:~# ␍␤
[32mINFO   [0m      StepLogger:   ← QEMUDriver.expect() result=(0, b"MARKER='KVAJ''QPEWCT' run logread\r\n", <re.Match object; span=(35, 31702), match=b"KVAJQPEWCT… [5.767s]
[32mINFO   [0m      StepLogger:  ← ShellDriver.run() result=(['Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.000000] Booting Linux on physical CPU 0x0000000… [5.783s]
